Project Name,Start_Date,End_Date,Equipment_Name,Loss_Category,Energy_loss_MWh,Revenue Loss
Siler City 2,2022-07-19 09:30:00,2022-07-22 14:10:00,03.008.BLK01.PAD01.INV01 ,Inverter Outage,13.346945938338338,920.27
Siler City 2,2022-07-19 09:30:00,2022-07-22 14:10:00,03.008.BLK01.PAD01.INV02 ,Inverter Outage,13.346945938338338,920.27
Siler City 2,2022-07-19 09:30:00,2022-07-22 14:10:00,03.008.BLK01.PAD02.INV01 ,Inverter Outage,13.30139322182524,917.13
Siler City 2,2022-07-01 00:00:00,2022-07-22 14:10:00,03.008.BLK01.PAD02.INV02 ,Inverter Outage,36.425923804876874,2511.57
Siler City 2,2022-07-16 16:00:00,2022-07-19 12:20:00,03.008.BLK01.PAD04.INV01 ,Inverter Outage,10.409704170757523,717.75
