Project Name,Start_Date,End_Date,Equipment_Name,Loss_Category,Energy_loss_MWh,Revenue Loss
Nash 97 Solar 2,2022-07-18 07:10:00,2022-07-19 06:40:00,03.005.BLK01.PAD01.INV02 ,Inverter Outage,3.4968315065240487,222.36
Nash 97 Solar 2,2022-07-20 06:45:00,2022-07-21 17:50:00,03.005.BLK01.PAD01.INV02 ,Inverter Outage,2.1449241251161264,136.4
Nash 97 Solar 2,2022-07-27 06:35:00,2022-07-28 06:35:00,03.005.BLK01.PAD01.INV02 ,Inverter Outage,3.587633394856446,228.14
Nash 97 Solar 2,2022-07-29 19:50:00,2022-08-01 00:00:00,03.005.BLK01.PAD02.INV02 ,Inverter Outage,6.32086259510455,401.94
