Project Name,Start_Date,End_Date,Equipment_Name,Loss_Category,Energy_loss_MWh,Revenue Loss
ISS 59,2022-08-01 00:00:00,2022-09-01 00:00:00,02.012.BLK01.PAD01.INV02 ,Inverter Outage,65.74643961443653,4638.41
ISS 59,2022-08-14 13:10:00,2022-08-16 12:35:00,02.012.BLK01.PAD01.INV03 ,Inverter Outage,3.692207935247156,260.49
ISS 59,2022-08-04 10:05:00,2022-08-04 17:15:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,2.2465936755001548,158.5
ISS 59,2022-08-07 20:00:00,2022-08-09 06:55:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,3.0591733216194643,215.82
ISS 59,2022-08-11 20:15:00,2022-08-13 06:50:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,1.9300422980311838,136.16
ISS 59,2022-08-18 11:30:00,2022-08-19 06:10:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,2.060457616930207,145.37
ISS 59,2022-08-20 19:45:00,2022-08-23 06:55:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,5.0583802034711685,356.87
